,Pressure (psi),Cylinder volume (mL),Pressure (bar),Cylinder volume (L),Time (min),Delta_V (L),Gas uptake (mol of gas),Gas uptake (mol of gas / mol of water)
0,423.800018,404.634399,29.219982636076317,0.404634399,0.0,0.0,0.0,0.0
3,423.800018,402.478668,29.219982636076317,0.40247866800000004,15.0,0.0021557309999999386,0.0030223773629763284,0.001088979489193604
6,423.800018,402.124664,29.219982636076317,0.402124664,30.0,0.0025097349999999574,0.0035186979502866934,0.0012678065761968173
9,423.800018,401.853363,29.219982636076317,0.401853363,45.0,0.002781035999999959,0.0038990673010790085,0.001404855783355653
12,423.800018,401.626648,29.219982636076317,0.401626648,60.0,0.003007751000000003,0.004216926200843094,0.0015193821249504917
15,423.800018,401.529877,29.219982636076317,0.40152987700000004,75.0,0.003104521999999943,0.004352601050716482,0.0015682665331390325
18,423.800018,401.467529,29.219982636076317,0.40146752900000005,90.0,0.003166869999999933,0.004440014175928683,0.0015997619716664898
21,423.800018,401.41333,29.219982636076317,0.40141332999999996,105.0,0.003221069000000021,0.00451600224248069,0.0016271408975783506
24,423.800018,372.445343,29.219982636076317,0.372445343,120.0,0.032189055999999994,0.045129691130284866,0.016260480440511968
27,423.800018,335.409668,29.219982636076317,0.335409668,135.0,0.06922473099999998,0.09705443765132644,0.034969257390623766
30,423.800018,309.190186,29.219982636076317,0.309190186,150.0,0.095444213,0.13381466834141145,0.04821417436555326
33,423.800018,270.26358,29.219982636076317,0.27026358,165.0,0.13437081899999997,0.18839053740480655,0.06787816561396127
36,423.800018,217.749435,29.219982636076317,0.21774943500000002,180.0,0.18688496399999996,0.26201640402919574,0.09440597766358179
39,423.800018,173.204437,29.219982636076317,0.17320443700000002,195.0,0.23142996199999996,0.3244693694451171,0.1169081308395446
42,423.800018,140.795547,29.219982636076317,0.140795547,210.0,0.263838852,0.3699072721775048,0.1332796616462792
45,423.800018,116.764641,29.219982636076317,0.116764641,225.0,0.287869758,0.40359907616706286,0.14541900729781929
48,423.800018,106.632378,29.219982636076317,0.106632378,240.0,0.29800202099999995,0.4178047086541048,0.15053737623444244
51,424.600006,105.005959,29.27513986702544,0.10500595900000001,255.0,0.29962844,0.42087795544970963,0.1516446842650809
54,425.800018,105.005959,29.357877781876315,0.10500595900000001,270.0,0.29962844,0.4220674481250232,0.15207326513715538
57,426.200012,105.005959,29.38545639735088,0.10500595900000001,285.0,0.29962844,0.4224639357711213,0.15221612185637534
60,425.399994,106.200508,29.330297097974565,0.106200508,300.0,0.29843389099999995,0.41998982667632756,0.15132468649451022
63,423.800018,108.873734,29.219982636076317,0.108873734,315.0,0.295760665,0.4146622833530022,0.14940514280087347
66,424.399994,108.621666,29.261349525074564,0.108621666,330.0,0.296012733,0.4156032276341707,0.14974417029466647
69,425.0,108.57737,29.3027184825,0.10857737,345.0,0.29605702899999997,0.41625307669917566,0.14997831455194252
72,423.800018,113.053101,29.219982636076317,0.113053101,360.0,0.291581298,0.4088027284213476,0.14729391234549072
75,424.600006,110.732216,29.27513986702544,0.110732216,375.0,0.293902183,0.41283447553658925,0.14874657340889613
78,423.800018,110.263977,29.219982636076317,0.110263977,390.0,0.29437042199999996,0.41271313525788433,0.14870285382697318
81,423.800018,109.931229,29.219982636076317,0.109931229,405.0,0.29470316999999996,0.41317965451412536,0.14887094332750467
84,423.800018,109.833305,29.219982636076317,0.10983330499999999,420.0,0.294801094,0.41331694589273066,0.14892041018004787
87,424.399994,109.120949,29.261349525074564,0.109120949,435.0,0.29551344999999996,0.4149022320242863,0.14949159765084968
90,423.800018,108.847061,29.219982636076317,0.108847061,450.0,0.295787338,0.41469967942486957,0.1494186168149853
93,423.800018,108.167603,29.219982636076317,0.108167603,465.0,0.296466796,0.41565229293661715,0.1497618487979036
96,423.800018,107.122536,29.219982636076317,0.107122536,480.0,0.297511863,0.41711749747447163,0.150289770198038
99,424.600006,107.122505,29.27513986702544,0.107122505,495.0,0.297511894,0.4179049147293586,0.1505734810445104
102,423.800018,107.122505,29.219982636076317,0.107122505,510.0,0.297511894,0.41711754093708286,0.1502897858578602
105,423.800018,107.111084,29.219982636076317,0.10711108400000001,525.0,0.29752331499999995,0.4171335534042518,0.15029555523945098
