,Pressure (psi),Cylinder volume (mL),Pressure (bar),Cylinder volume (L),Time (min),Delta_V (L),Gas uptake (mol of gas),Gas uptake (mol of gas / mol of water)
0,507.200012,503.236115,34.97020980225088,0.503236115,0.0,0.0,0.0,0.0
14,506.0,490.835022,34.887471887400004,0.490835022,14.0,0.012401092999999974,0.026832247143934597,0.016113014844239403
28,506.0,476.583069,34.887471887400004,0.476583069,28.0,0.026653045999999958,0.057669200401178976,0.034630893086778386
42,506.0,461.945526,34.887471887400004,0.461945526,42.0,0.04129058899999999,0.08934045481044528,0.05364977695791729
56,506.0,449.537781,34.887471887400004,0.449537781,56.0,0.05369833399999996,0.11618709488797059,0.06977143489311197
70,505.399994,439.818085,34.84610292997456,0.439818085,70.0,0.06341802999999996,0.13705489261594483,0.08230274219487263
84,506.0,430.676086,34.887471887400004,0.430676086,84.0,0.07256002899999997,0.15699814773577336,0.09427885303137744
98,506.0,427.605194,34.887471887400004,0.42760519399999997,98.0,0.07563092100000002,0.16364263730587278,0.09826893103345813
112,506.0,425.065369,34.887471887400004,0.42506536899999997,112.0,0.07817074600000001,0.16913805711300944,0.10156898191822857
126,506.0,421.710907,34.887471887400004,0.421710907,126.0,0.08152520799999996,0.17639610714286857,0.10592750870295925
140,506.0,418.579071,34.887471887400004,0.418579071,140.0,0.08465704399999996,0.18317246125667705,0.10999677259427297
154,506.0,415.955322,34.887471887400004,0.415955322,154.0,0.08728079299999997,0.18884946743763642,0.11340586779133009
168,506.0,414.372864,34.887471887400004,0.414372864,168.0,0.08886325099999998,0.1922734320955014,0.11546199052538149
182,506.0,413.291809,34.887471887400004,0.413291809,182.0,0.08994430599999997,0.19461251099251362,0.11686662923444037
196,506.0,412.375,34.887471887400004,0.412375,196.0,0.09086111499999999,0.19659621078992537,0.11805785947731756
210,506.0,410.952606,34.887471887400004,0.410952606,210.0,0.09228350899999999,0.19967384494233836,0.11990600751042699
224,506.0,409.950378,34.887471887400004,0.409950378,224.0,0.09328573699999998,0.2018423658453403,0.12120822455220807
238,506.0,409.847992,34.887471887400004,0.409847992,238.0,0.09338812299999999,0.20206389845186773,0.12134125695006547
252,506.0,409.843597,34.887471887400004,0.409843597,252.0,0.09339251799999998,0.20207340791415443,0.1213469674709236
267,506.0,409.790497,34.887471887400004,0.40979049700000003,267.0,0.09344561799999995,0.20218830039365945,0.12141596147719619
281,506.0,409.684998,34.887471887400004,0.409684998,281.0,0.09355111699999996,0.20241656859884413,0.12155303866491284
295,506.0,409.508392,34.887471887400004,0.409508392,295.0,0.09372772299999999,0.2027986910326572,0.12178250675289364
309,506.0,409.476868,34.887471887400004,0.40947686800000005,309.0,0.09375924699999993,0.20286689951709996,0.12182346658441402
323,506.0,409.463593,34.887471887400004,0.409463593,323.0,0.09377252199999997,0.2028956226369763,0.12184071508598222
337,506.0,409.358124,34.887471887400004,0.409358124,337.0,0.093877991,0.20312382593115566,0.12197775329403433
351,506.0,409.223877,34.887471887400004,0.409223877,351.0,0.09401223799999997,0.20341429618908624,0.1221521833949774
365,506.0,409.0466,34.887471887400004,0.40904660000000004,365.0,0.09418951499999995,0.20379787046571932,0.12238252332812213
379,506.0,408.819458,34.887471887400004,0.408819458,379.0,0.09441665699999996,0.20428933765177848,0.12267765396037773
393,506.0,408.607666,34.887471887400004,0.408607666,393.0,0.094628449,0.20474759204009002,0.12295283999759977
407,506.0,408.357605,34.887471887400004,0.408357605,407.0,0.09487850999999997,0.20528864907055164,0.1232777497942576
421,506.0,407.918335,34.887471887400004,0.407918335,421.0,0.09531777999999996,0.20623909764818235,0.12384850303597822
435,506.0,407.558533,34.887471887400004,0.407558533,435.0,0.09567758199999998,0.20701760129998809,0.12431600174492165
449,506.0,406.964661,34.887471887400004,0.406964661,449.0,0.09627145399999998,0.20830256225269303,0.12508763278998986
463,506.0,406.552643,34.887471887400004,0.406552643,463.0,0.09668347199999999,0.2091940456730456,0.1256229769044235
