,Pressure (psi),Cylinder volume (mL),Pressure (bar),Cylinder volume (L),Time (min),Delta_V (L),Gas uptake (mol of gas),Gas uptake (mol of gas / mol of water)
0,507.200012,503.236115,34.97020980225088,0.503236115,0.0,0.0,0.0,0.0
6,506.0,501.612396,34.887471887400004,0.501612396,6.0,0.0016237190000000234,0.003513241090950859,0.0021097340653661732
12,506.0,493.068848,34.887471887400004,0.493068848,12.0,0.01016726699999998,0.02199891742787273,0.013210555238666903
18,506.0,486.544617,34.887471887400004,0.486544617,18.0,0.01669149799999997,0.03611539721043058,0.021687633101904198
24,506.0,480.584564,34.887471887400004,0.480584564,24.0,0.022651550999999992,0.049011164953398856,0.02943166199205558
30,506.0,474.465393,34.887471887400004,0.474465393,30.0,0.02877072199999997,0.06225121634144967,0.037382436424393053
36,506.0,467.903107,34.887471887400004,0.467903107,36.0,0.035333008,0.07645003573431958,0.04590895999212576
42,506.0,461.945526,34.887471887400004,0.461945526,42.0,0.04129058899999999,0.08934045481044528,0.05364977695791729
48,506.0,456.282562,34.887471887400004,0.456282562,48.0,0.04695355299999998,0.10159341103093364,0.06100779152924528
54,506.0,451.131317,34.887471887400004,0.45113131700000003,54.0,0.05210479799999995,0.11273916075952263,0.06770091826826043
60,506.0,446.435455,34.887471887400004,0.446435455,60.0,0.05680066,0.12289959820949681,0.07380235578771946
66,506.0,442.365417,34.887471887400004,0.442365417,66.0,0.060870698,0.1317059401586464,0.07909064632070864
72,506.0,437.755188,34.887471887400004,0.43775518799999996,72.0,0.06548092700000002,0.14168109347119195,0.08508081898632316
78,506.0,433.839966,34.887471887400004,0.433839966,78.0,0.06939614899999996,0.15015246001342888,0.09016795366102417
84,506.0,430.676086,34.887471887400004,0.430676086,84.0,0.07256002899999997,0.15699814773577336,0.09427885303137744
90,506.0,429.147949,34.887471887400004,0.429147949,90.0,0.07408816600000001,0.16030457803621478,0.09626439528680865
96,506.0,428.003052,34.887471887400004,0.42800305200000005,96.0,0.07523306299999993,0.16278179188005476,0.09775198532069711
102,506.0,426.959412,34.887471887400004,0.426959412,102.0,0.076276703,0.16503991593486975,0.09910800989143802
108,506.0,425.876556,34.887471887400004,0.425876556,108.0,0.07735955899999997,0.1673828916559043,0.10051498867969266
114,506.0,424.600006,34.887471887400004,0.42460000600000003,114.0,0.07863610899999995,0.17014496311941074,0.10217363837286193
